userName,score,content,at,thumbsUpCount
Aakash Kumar,5,add adrees me live location ka option kam nhi kr raha,2026-07-23 08:06:54,0
Kinjal Marwadi,4,service is very good 👍🏻,2026-07-23 08:05:21,0
Empress Nunubi,4,it's good but sometimes when the product is wrong returning is a problem,2026-07-23 08:05:15,0
Rekha Kamath,4,delivery time adherence,2026-07-23 07:59:15,0
Khosa Veerkaran,1,onion size very small and all onion smelled and all are rotten,2026-07-23 07:57:19,0
Sharanya Dutta,1,"I lost only ₹72.50 due to the non-issuance of a cashback, but Blinkit’s lack of accountability is far more disappointing. I applied the AIRTELAXIS10 coupon exactly as I had on previous successful orders, but it was apparently not recorded due to an app/server/network issue. Despite weeks of follow-ups, Blinkit simply repeated that the coupon wasn’t applied and refused to help. Customer support should solve problems, not just quote system records. Uninstalling the app and switching to other apps.",2026-07-23 07:50:23,1
Keerthan Kumar,5,Excellent 👌🏻👍🏻✨✨,2026-07-23 07:32:20,1
Sheeba Baskaran,1,taking too Long time to get the product worst app i never seen,2026-07-23 07:28:36,0
Santosh Dunge,1,1st order aakar pata chale,2026-07-23 07:25:58,0
ANMOL Soni,2,It is expensive because of dilevery charges,2026-07-23 07:25:12,0
Mini Nair,1,I had ordered for banana along with other items but banana was not delivered. I complained but they are saying it is delivered which is wrong as I have not received banana for which I paid Rs 61,2026-07-23 07:22:28,0
Rakesh Sharma,5,bahut achhi service hai easy ho gya hai sab kuch,2026-07-23 07:18:49,0
Md Rahen R,5,badiya hai yrr blinkit jindabad Jai hind vandematram..,2026-07-23 07:10:38,0
Gurunank Agro,5,we get safe order and fresh things and it comes very fast,2026-07-23 07:00:56,0
Yashaswini Yashaswini,1,expired product,2026-07-23 06:45:48,0
Hasti Patel,2,increasing prices,2026-07-23 06:43:13,1
Lavanya Kashyap,1,"I ordered the Pee Safe panty liner and the expiry date was misplaced. When it comes to personal hygiene products like this, things need to be proper for the peace of mind. I do not feel comfortable using a defected product so I politely demanded a refund and the agent ""Poulami"" didn't talk further and immediately closed the chat abruptly while my product issue was still unresolved. They are shoving defected products down our throats. I'm not gonna use blinkit ever again. Open your eyes everyone.",2026-07-23 06:31:43,0
Omkar Pandya,5,now I'm ordering more products from this app but they need to maintain stocks. I never get any notification which I asked for notify when the product is available.,2026-07-23 06:25:26,0
Aryan Lajpal,5,it's very gud app,2026-07-23 06:21:00,0
Rohit Dutta,5,A good and fast delivery app,2026-07-23 06:06:57,0
SaiShivani In service of Sai,1,"Horrible packing , seemed like very very old products being not sold but discarded to the customer. Im extremely humiliated and frustrated at the products I bought which were actually valued worth Rs12000 and the way it was delivered and handed over to me seemed like the value of the products was just worth Rs 200. Disgusting and very unprofessional.",2026-07-23 05:33:26,0
Shivaji Satamwar,5,best grocery shopping app,2026-07-23 05:02:00,0
ruchi ahuja,4,good app but takes more than 10 mins,2026-07-23 04:45:02,0
Nikhil Singh,5,A good experience on blinkit health products and prescription on medicine,2026-07-23 04:29:51,0
Swati Gupta,2,delivery partner is not assigned in night even for medicine,2026-07-23 04:20:05,1
sandeep dubey,1,"blinkit service is good but service provider aren't sensible, all times we found that colddrink are not cold, get colddrink with 50• temperature All tims So please carefully for again order If we found again this type issue then I will close blinkit service permanently thanks",2026-07-23 02:56:49,0
Patil Prathamesh,5,"Almost everything is available at any time, low prices than peers and fast delivery. Good job Blinkit! 🙏 You are a saviour for people like us who remember things in the middle of the night.",2026-07-23 02:50:45,1
SIDDU T,1,devilery partners carry weapons to threnen,2026-07-23 02:34:14,0
Praveen Kumar,5,could you pls give me that payment less for doorstep delivery,2026-07-23 01:54:36,0
Shoeb Khan,1,delivery partners said I wil not come to your floor in night and this is our manager rule,2026-07-23 01:48:59,0
Batman,5,it was a absolute service on time🤩🥰 I JUST LOVED IT 🫶🏻,2026-07-23 01:35:02,0
Ankush,3,"atleast cut off the charges and platform fees on the order which are going to jantar mantar, Delhi, please bharat mata ki jai",2026-07-23 01:30:18,0
Nishant Sahu,5,very good for loved one,2026-07-23 01:28:08,0
Pooja Sonkusale,1,"worst service I never get , I got pampered product from blinkit.",2026-07-23 01:21:11,0
Mukul Sharma,5,nice good service,2026-07-23 01:16:36,0
RAHUL SHARMA,1,"compare to flipkart minutes, blinkit services and products and return policy is worst. may be a small platform overall. i bought one product today and requested return because of cheap plastic and smells alot . they said we cannot exchange or return. whereas in half the price, i bought from flipkart minutes with better quality. blinkit just lost 3 everyday regular customets in my family because of 300 rs.",2026-07-23 01:09:11,0
Sarthak Swarnkar,5,"best of the best , always",2026-07-23 01:00:46,0
VIRAJ KAPOOR,5,very much helpful app for urgent situations,2026-07-23 00:51:49,0
Ankit “Itz ankit” Ray,3,I like the service,2026-07-23 00:29:07,0
Angajala Pavan Santhosh,2,"always delivering COOL drinks without cooling, I'm very upset about that",2026-07-23 00:27:33,0
Aishu Aishuraj,3,not bad but once time delivery order agithu but order thandkottilla payment refund madthini andru but madilla,2026-07-23 00:27:01,0
Arpita Yenpure,1,"Very pathetic application and delivery service. The delivery guy falsely claimed that I had entered the wrong address, even though my address was completely correct. I even showed him the correct address in person, but instead of accepting his mistake, he blamed me and said, ""Because of you, I suffered a loss. It's disappointing that you have delivery partners who don't know how to navigate to the correct location and then blame customers for their own mistakes. I want a call from Blinkit",2026-07-23 00:24:58,0
Peter Parker,1,did not receive my icecream guava chilli,2026-07-23 00:22:03,0
mangesh sakpal,5,faster delivery app,2026-07-23 00:16:55,0
Karan Kumar,5,very good quality product,2026-07-23 00:06:25,0
Vasavi Kishore,1,sent me expiry completed product.Ban Blinkit in india,2026-07-22 23:58:33,0
Shubham Rj,5,some time extending. is important. because last time it was till 1 am,2026-07-22 23:57:08,0
studywith purpose,5,Bakwaas..what do you mean by shop not available high demand at 8.20 a.m?Your duty to have more staff.,2026-07-22 23:56:33,0
Ramswroop Namdev,5,good right time service,2026-07-22 23:56:29,0
Suman Gujjar,5,"⭐⭐⭐⭐⭐ I'm truly grateful to Blinkit! ❤️ Last night around 11:30 PM, my father urgently needed a Pet Safa product. There was no one else at home, and as a girl, it wasn't safe for me to go out that late. 😔 I ordered it on Blinkit, and it arrived in just 7 minutes! 🚀 Thanks to your super-fast delivery, I could help my father immediately. 🙏 Thank you for bringing such reliable service to my city. In emergencies, Blinkit is a true lifesaver! 💚👏And thankyou to the dilivery man as well ❤️",2026-07-22 23:55:14,0
Jyoti Oraon,2,"Your service is extremely disappointing. I placed my order using the Cash on Delivery (COD) option because I currently do not have online or UPI payment available. However, when the delivery person arrived, he insisted that I pay online. When I told him I couldn't, he asked me to cancel the order, saying that he would not deliver it unless I made an online payment. If Cash on Delivery is not actually available, then why do you providthe COD option while placing the order?",2026-07-22 23:54:33,0
SHRAVANI CHACHAD,5,"When you need few essentials things urgently, it's a great app to deliver it at your doorstep. Thank you Blinkit.",2026-07-22 23:50:45,0
MD MUNAM ABDUL HAQUE,1,hight price comparison local market,2026-07-22 23:49:01,0
KT creation,5,great application for general use items,2026-07-22 23:48:15,0
Deepak Batham,5,so fast deliver and fresh food,2026-07-22 23:46:08,0
Shaik Ehsaan,5,super service but charges more,2026-07-22 23:39:40,0
Ahana Ro Service,1,15 minutes me ambulance aayegi to koi delivery partner agr jayeda ghayal ho gya to 15 mint me q...khud ambulance rakho jo sirf blinkit ke liye kam kre.,2026-07-22 23:37:53,0
Md ALI,1,only local items don't install blink it app,2026-07-22 23:37:07,0
Rohit chaparwal,5,very gudd grocery app,2026-07-22 23:35:05,0
Shubh,5,provide greatest discount on any product with fastest delivery 👍😍,2026-07-22 23:26:14,0
Ramautar Gurrjar,5,best service maja aa gya,2026-07-22 23:25:58,0
Sheela Devi,1,this was a very bad experience I ordered a product and I payed online and the amount was deducted from my account but the order was cancelled even I didn't cancelled it and they said the refund will be given in 5 days I hate this type of service from blinkit I wanted the order for an emergency but I got nothing nor my order nor my refund this experience was very badd(edit- I didn't received my refund yet even after 5 days and instead of giving my refund they cleared all my that order details),2026-07-22 23:23:01,0
Akansha Verma,1,"I had ordered from blinkit few times but this time it's really disappointing for me because I had brought whole fram chakki aata and it's quality is not very good .....and I wanted a refund or I could atleast get to complaint about it but there's no such system about filling a complaint about this type of product and You guys really think that we customer are fool,don't you...",2026-07-22 23:20:21,0
Ashmit Chauhan,5,great app for asap delivery of required items,2026-07-22 23:18:27,0
